日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20250829,日本農薬,4997,化学,0.0034%,TOPIX Small 2
20250829,ニチレキグループ,5011,石油・石炭製品,0.0068%,TOPIX Small 2
20250829,ユシロ,5013,石油・石炭製品,0.0027%,TOPIX Small 2
20250829,ＪＸ金属,5016,非鉄金属,0.0814%,TOPIX Mid400
20250829,富士石油,5017,石油・石炭製品,0.0020%,TOPIX Small 2
20250829,出光興産,5019,石油・石炭製品,0.0978%,TOPIX Mid400
20250829,ＥＮＥＯＳホールディングス,5020,石油・石炭製品,0.3062%,TOPIX Large70
20250829,コスモエネルギーホールディングス,5021,石油・石炭製品,0.0540%,TOPIX Mid400
20250829,ＡＮＹＣＯＬＯＲ,5032,情報・通信業,0.0150%,TOPIX Small 1
20250829,テスホールディングス,5074,建設業,0.0020%,TOPIX Small 2
20250829,インフロニア・ホールディングス,5076,建設業,0.0347%,TOPIX Mid400
20250829,横浜ゴム,5101,ゴム製品,0.0706%,TOPIX Mid400
20250829,ＴＯＹＯ　ＴＩＲＥ,5105,ゴム製品,0.0548%,TOPIX Mid400
20250829,ブリヂストン,5108,ゴム製品,0.4510%,TOPIX Large70
20250829,住友ゴム工業,5110,ゴム製品,0.0432%,TOPIX Mid400
20250829,藤倉コンポジット,5121,ゴム製品,0.0041%,TOPIX Small 2
20250829,オカモト,5122,ゴム製品,0.0062%,TOPIX Small 2
20250829,アキレス,5142,化学,0.0014%,TOPIX Small 2
20250829,フコク,5185,ゴム製品,0.0026%,TOPIX Small 2
20250829,ニッタ,5186,ゴム製品,0.0093%,TOPIX Small 2
20250829,住友理工,5191,ゴム製品,0.0099%,TOPIX Small 1
20250829,三ツ星ベルト,5192,ゴム製品,0.0120%,TOPIX Small 1
20250829,バンドー化学,5195,ゴム製品,0.0068%,TOPIX Small 2
20250829,ＡＧＣ,5201,ガラス・土石製品,0.1036%,TOPIX Mid400
20250829,日本板硝子,5202,ガラス・土石製品,0.0063%,TOPIX Small 1
20250829,有沢製作所,5208,化学,0.0056%,TOPIX Small 1
20250829,日本電気硝子,5214,ガラス・土石製品,0.0347%,TOPIX Mid400
20250829,オハラ,5218,ガラス・土石製品,0.0011%,TOPIX Small 2
20250829,住友大阪セメント,5232,ガラス・土石製品,0.0157%,TOPIX Mid400
20250829,太平洋セメント,5233,ガラス・土石製品,0.0570%,TOPIX Mid400
20250829,日本ヒューム,5262,ガラス・土石製品,0.0066%,TOPIX Small 2
20250829,日本コンクリート工業,5269,ガラス・土石製品,0.0014%,TOPIX Small 2
20250829,三谷セキサン,5273,ガラス・土石製品,0.0071%,TOPIX Small 2
20250829,アジアパイルホールディングス,5288,ガラス・土石製品,0.0041%,TOPIX Small 2
20250829,東海カーボン,5301,ガラス・土石製品,0.0236%,TOPIX Mid400
20250829,日本カーボン,5302,ガラス・土石製品,0.0055%,TOPIX Small 1
20250829,東洋炭素,5310,ガラス・土石製品,0.0077%,TOPIX Small 1
20250829,ノリタケ,5331,ガラス・土石製品,0.0113%,TOPIX Small 1
20250829,ＴＯＴＯ,5332,ガラス・土石製品,0.0640%,TOPIX Mid400
20250829,日本碍子,5333,ガラス・土石製品,0.0599%,TOPIX Mid400
20250829,日本特殊陶業,5334,ガラス・土石製品,0.0997%,TOPIX Mid400
20250829,ＭＡＲＵＷＡ,5344,ガラス・土石製品,0.0388%,TOPIX Mid400
20250829,品川リフラクトリーズ,5351,ガラス・土石製品,0.0055%,TOPIX Small 1
20250829,黒崎播磨,5352,ガラス・土石製品,0.0064%,TOPIX Small 1
20250829,ヨータイ,5357,ガラス・土石製品,0.0020%,TOPIX Small 2
20250829,フジミインコーポレーテッド,5384,ガラス・土石製品,0.0129%,TOPIX Small 1
20250829,ニチアス,5393,ガラス・土石製品,0.0332%,TOPIX Mid400
20250829,日本製鉄,5401,鉄鋼,0.3731%,TOPIX Large70
20250829,神戸製鋼所,5406,鉄鋼,0.0863%,TOPIX Mid400
20250829,中山製鋼所,5408,鉄鋼,0.0033%,TOPIX Small 1
20250829,合同製鐵,5410,鉄鋼,0.0055%,TOPIX Small 1
20250829,ＪＦＥホールディングス,5411,鉄鋼,0.1311%,TOPIX Mid400
20250829,東京製鐵,5423,鉄鋼,0.0110%,TOPIX Small 1
20250829,共英製鋼,5440,鉄鋼,0.0053%,TOPIX Small 1
